14/08/2018 - 13:13:33 | INFO  | com.devoteam.dls.domain.Employee -> <init>() -> Entity employee created class com.devoteam.dls.domain.Employee
14/08/2018 - 13:13:33 | INFO  | com.devoteam.dls.domain.Role -> <init>() -> Default constructor role create class com.devoteam.dls.domain.Role
14/08/2018 - 13:13:37 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> passwordEncoder() -> Method passwordEncoder is invoked
14/08/2018 - 13:13:38 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> configure() -> Method configure(AuthenticationManagerBuilder auth) and the hashCode is {}
14/08/2018 - 13:13:38 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> rememberMeServices() -> Method rememberMeServices() invoke after the user clicked the enter button on the keyboard
14/08/2018 - 13:13:38 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> sessionAuthenticationStrategy() -> Method sessionAuthenticationStrategy() invoke
14/08/2018 - 13:13:38 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> configure() -> Method configure(HttpSecurity http) invoke and get object {}
14/08/2018 - 13:13:38 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> configure() -> Method configure(WebSecurity web) invoke get Object{}
14/08/2018 - 13:13:38 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> vaadinAuthenticationSuccessHandler() -> Method vaadinAuthenticationSuccessHandler() invoke
14/08/2018 - 13:13:39 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> authenticationManagerBean() -> Method authenticationManagerBean() invoke and return super.authenticationManagerBean
14/08/2018 - 13:13:41 | INFO  | com.devoteam.dls.Application -> run() -> checking if pwd hash uses salt
14/08/2018 - 13:13:41 | INFO  | com.devoteam.dls.Application -> run() -> the following 2 hash should be different
14/08/2018 - 13:27:28 | INFO  | com.devoteam.dls.domain.Employee -> <init>() -> Entity employee created class com.devoteam.dls.domain.Employee
14/08/2018 - 13:27:28 | INFO  | com.devoteam.dls.domain.Role -> <init>() -> Default constructor role create class com.devoteam.dls.domain.Role
14/08/2018 - 13:27:29 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> passwordEncoder() -> Method passwordEncoder is invoked
14/08/2018 - 13:27:30 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> configure() -> Method configure(AuthenticationManagerBuilder auth) and the hashCode is {}
14/08/2018 - 13:27:30 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> rememberMeServices() -> Method rememberMeServices() invoke after the user clicked the enter button on the keyboard
14/08/2018 - 13:27:30 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> sessionAuthenticationStrategy() -> Method sessionAuthenticationStrategy() invoke
14/08/2018 - 13:27:30 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> configure() -> Method configure(HttpSecurity http) invoke and get object {}
14/08/2018 - 13:27:30 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> configure() -> Method configure(WebSecurity web) invoke get Object{}
14/08/2018 - 13:27:30 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> vaadinAuthenticationSuccessHandler() -> Method vaadinAuthenticationSuccessHandler() invoke
14/08/2018 - 13:27:30 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> authenticationManagerBean() -> Method authenticationManagerBean() invoke and return super.authenticationManagerBean
14/08/2018 - 13:27:31 | INFO  | com.devoteam.dls.Application -> run() -> checking if pwd hash uses salt
14/08/2018 - 13:27:31 | INFO  | com.devoteam.dls.Application -> run() -> the following 2 hash should be different
14/08/2018 - 13:27:32 | INFO  | com.devoteam.dls.Application -> run() -> $2a$10$Ad8U3aBRjtLudBlYut8wguGHqqxmetO9N2DE63HTsE72bhuVG0EFa
14/08/2018 - 13:27:32 | INFO  | com.devoteam.dls.Application -> run() -> $2a$10$MGllu3eESBw7J9PtgMq3m..c0wvebW3d9R4p1mFlDnyb7DDwdCETy
14/08/2018 - 13:43:53 | INFO  | com.devoteam.dls.domain.Employee -> <init>() -> Entity employee created class com.devoteam.dls.domain.Employee
14/08/2018 - 13:43:54 | INFO  | com.devoteam.dls.domain.Role -> <init>() -> Default constructor role create class com.devoteam.dls.domain.Role
14/08/2018 - 13:43:55 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> passwordEncoder() -> Method passwordEncoder is invoked
14/08/2018 - 13:43:55 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> configure() -> Method configure(AuthenticationManagerBuilder auth) and the hashCode is {}
14/08/2018 - 13:43:55 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> rememberMeServices() -> Method rememberMeServices() invoke after the user clicked the enter button on the keyboard
14/08/2018 - 13:43:55 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> sessionAuthenticationStrategy() -> Method sessionAuthenticationStrategy() invoke
14/08/2018 - 13:43:55 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> configure() -> Method configure(HttpSecurity http) invoke and get object {}
14/08/2018 - 13:43:55 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> configure() -> Method configure(WebSecurity web) invoke get Object{}
14/08/2018 - 13:43:55 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> vaadinAuthenticationSuccessHandler() -> Method vaadinAuthenticationSuccessHandler() invoke
14/08/2018 - 13:43:55 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> authenticationManagerBean() -> Method authenticationManagerBean() invoke and return super.authenticationManagerBean
14/08/2018 - 13:43:56 | INFO  | com.devoteam.dls.Application -> run() -> checking if pwd hash uses salt
14/08/2018 - 13:43:56 | INFO  | com.devoteam.dls.Application -> run() -> the following 2 hash should be different
14/08/2018 - 13:43:57 | INFO  | com.devoteam.dls.Application -> run() -> $2a$10$4y5RBd4OeLxmEXZ9l6D0z.tof5hmVlHvZCtYzp7xlS1/0whwZgeQC
14/08/2018 - 13:43:57 | INFO  | com.devoteam.dls.Application -> run() -> $2a$10$uO.5RM4ajDuPo.P7qGCb2efu8Ygqe1qxxBP3t/dkpK8vbmSumFGZ2
14/08/2018 - 14:45:09 | INFO  | com.devoteam.dls.domain.Employee -> <init>() -> Entity employee created class com.devoteam.dls.domain.Employee
14/08/2018 - 14:45:09 | INFO  | com.devoteam.dls.domain.Role -> <init>() -> Default constructor role create class com.devoteam.dls.domain.Role
14/08/2018 - 14:45:11 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> passwordEncoder() -> Method passwordEncoder is invoked
14/08/2018 - 14:45:12 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> configure() -> Method configure(AuthenticationManagerBuilder auth) and the hashCode is {}
14/08/2018 - 14:45:12 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> rememberMeServices() -> Method rememberMeServices() invoke after the user clicked the enter button on the keyboard
14/08/2018 - 14:45:12 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> sessionAuthenticationStrategy() -> Method sessionAuthenticationStrategy() invoke
14/08/2018 - 14:45:12 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> configure() -> Method configure(HttpSecurity http) invoke and get object {}
14/08/2018 - 14:45:12 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> configure() -> Method configure(WebSecurity web) invoke get Object{}
14/08/2018 - 14:45:12 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> vaadinAuthenticationSuccessHandler() -> Method vaadinAuthenticationSuccessHandler() invoke
14/08/2018 - 14:45:12 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> authenticationManagerBean() -> Method authenticationManagerBean() invoke and return super.authenticationManagerBean
14/08/2018 - 14:45:13 | INFO  | com.devoteam.dls.Application -> run() -> checking if pwd hash uses salt
14/08/2018 - 14:45:13 | INFO  | com.devoteam.dls.Application -> run() -> the following 2 hash should be different
14/08/2018 - 14:45:14 | INFO  | com.devoteam.dls.Application -> run() -> $2a$10$WqMWv6Gx3Qb5hBwsm0Lkcuby2HbcgywC.tBJxXRczRSXTyhNoDf7K
14/08/2018 - 14:45:14 | INFO  | com.devoteam.dls.Application -> run() -> $2a$10$wCF6.B1yW7pG5LnU5iLFiOHMTKbvit5pklLcRmfjaF89gWQROxR7O
14/08/2018 - 14:53:55 | INFO  | com.devoteam.dls.domain.Employee -> <init>() -> Entity employee created class com.devoteam.dls.domain.Employee
14/08/2018 - 14:53:55 | INFO  | com.devoteam.dls.domain.Role -> <init>() -> Default constructor role create class com.devoteam.dls.domain.Role
14/08/2018 - 14:53:56 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> passwordEncoder() -> Method passwordEncoder is invoked
14/08/2018 - 14:53:57 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> configure() -> Method configure(AuthenticationManagerBuilder auth) and the hashCode is {}
14/08/2018 - 14:53:57 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> rememberMeServices() -> Method rememberMeServices() invoke after the user clicked the enter button on the keyboard
14/08/2018 - 14:53:57 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> sessionAuthenticationStrategy() -> Method sessionAuthenticationStrategy() invoke
14/08/2018 - 14:53:57 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> configure() -> Method configure(HttpSecurity http) invoke and get object {}
14/08/2018 - 14:53:57 | INFO  | com.devoteam.dls.config.VaadinSpringConfiguration -> configure() -> Method configure(WebSecurity web) invoke get Object{}
